pass	model_slug	hf_id	family	configs_explored	best_speedup	wallclock_s	status
1	qwen-qwen3-0-6b	Qwen/Qwen3-0.6B	dense_causal_lm	64	26.689	1846	ok
1	qwen-qwen3-4b	Qwen/Qwen3-4B	dense_causal_lm	88	13.849	3714	ok
1	qwen-qwen3-5-0-8b	Qwen/Qwen3.5-0.8B	dense_causal_lm	22	-	5400	TIMEOUT
1	qwen-qwen3-5-4b	Qwen/Qwen3.5-4B	dense_causal_lm	39	-	5400	TIMEOUT
1	qwen-qwen2-5-0-5b-instruct	Qwen/Qwen2.5-0.5B-Instruct	dense_causal_lm	59	14.898	3398	ok
1	qwen-qwen2-5-3b-instruct	Qwen/Qwen2.5-3B-Instruct	dense_causal_lm	70	-	5400	TIMEOUT
1	google-gemma-2-2b	google/gemma-2-2b	dense_causal_lm	0	-	4	FAIL_NO_BASELINE
1	mistralai-mistral-7b-instruct-v0-3	mistralai/Mistral-7B-Instruct-v0.3	dense_causal_lm	68	-	5400	TIMEOUT
1	qwen-qwen3-14b	Qwen/Qwen3-14B	dense_causal_lm	42	-	5400	TIMEOUT
1	qwen-qwen2-5-14b-instruct	Qwen/Qwen2.5-14B-Instruct	dense_causal_lm	43	-	5400	TIMEOUT
1	microsoft-phi-4	microsoft/phi-4	dense_causal_lm	26	0.000	1274	ok
1	meta-llama-llama-3-2-3b	meta-llama/Llama-3.2-3B	dense_causal_lm	0	-	4	FAIL_NO_BASELINE
1	qwen-qwen3-30b-a3b	Qwen/Qwen3-30B-A3B	moe_causal_lm	25	0.000	2727	ok
1	stabilityai-sdxl-turbo	stabilityai/sdxl-turbo	diffusion	25	0.000	296	ok
1	sd-legacy-stable-diffusion-v1-5	sd-legacy/stable-diffusion-v1-5	diffusion	31	-	5400	TIMEOUT
1	black-forest-labs-flux-1-schnell	black-forest-labs/FLUX.1-schnell	diffusion	25	0.000	130	ok
2	qwen-qwen3-0-6b	Qwen/Qwen3-0.6B	dense_causal_lm	64	28.109	1850	ok
2	qwen-qwen3-4b	Qwen/Qwen3-4B	dense_causal_lm	86	13.445	3389	ok
2	qwen-qwen3-5-0-8b	Qwen/Qwen3.5-0.8B	dense_causal_lm	29	-	5400	TIMEOUT
1	qwen-qwen3-0-6b	Qwen/Qwen3-0.6B	dense_causal_lm	64	26.379	1851	ok
1	qwen-qwen3-4b	Qwen/Qwen3-4B	dense_causal_lm	83	12.792	3168	ok
1	qwen-qwen2-5-0-5b-instruct	Qwen/Qwen2.5-0.5B-Instruct	dense_causal_lm	59	15.368	1447	ok
1	qwen-qwen2-5-3b-instruct	Qwen/Qwen2.5-3B-Instruct	dense_causal_lm	84	12.375	3369	ok
1	google-gemma-2-2b	google/gemma-2-2b	dense_causal_lm	0	-	4	FAIL_NO_BASELINE
1	qwen-qwen3-0-6b	Qwen/Qwen3-0.6B	dense_causal_lm	61	25.788	1820	ok
1	qwen-qwen3-4b	Qwen/Qwen3-4B	dense_causal_lm	84	13.426	3281	ok
1	qwen-qwen2-5-0-5b-instruct	Qwen/Qwen2.5-0.5B-Instruct	dense_causal_lm	57	15.171	1412	ok
1	qwen-qwen2-5-3b-instruct	Qwen/Qwen2.5-3B-Instruct	dense_causal_lm	84	12.196	3120	ok
1	google-gemma-2-2b	google/gemma-2-2b	dense_causal_lm	0	-	4	FAIL_NO_BASELINE
1	allenai-olmoe-1b-7b-0924	allenai/OLMoE-1B-7B-0924	moe_causal_lm	25	0.000	713	ok
1	qwen-qwen1-5-moe-a2-7b	Qwen/Qwen1.5-MoE-A2.7B	moe_causal_lm	25	0.000	842	ok
1	deepseek-ai-deepseek-moe-16b-base	deepseek-ai/deepseek-moe-16b-base	moe_causal_lm	25	0.000	319	ok
1	01-ai-yi-1-5-9b	01-ai/Yi-1.5-9B	dense_causal_lm	33	-	5400	TIMEOUT
1	huggingfacetb-smollm3-3b	HuggingFaceTB/SmolLM3-3B	dense_causal_lm	70	-	5400	TIMEOUT
1	qwen-qwen3-0-6b	Qwen/Qwen3-0.6B	dense_causal_lm	63	26.587	1887	ok
1	qwen-qwen3-1-7b	Qwen/Qwen3-1.7B	dense_causal_lm	83	17.239	2715	ok
